,datetime,NDVI,siteNumber
175,2017-04-23,0.10650723427534103,0
176,2017-05-01,,0
177,2017-05-09,0.025209303945302963,0
178,2017-05-17,,0
179,2017-05-25,0.4023330509662628,0
180,2017-06-02,,0
181,2017-06-10,0.21587690711021423,0
182,2017-06-18,,0
183,2017-06-26,0.7232226133346558,0
184,2017-07-04,,0
185,2017-07-12,0.7601936459541321,0
186,2017-07-20,,0
187,2017-07-28,,0
188,2017-08-05,,0
189,2017-08-13,,0
190,2017-08-21,,0
191,2017-08-29,0.08925656229257584,0
192,2017-09-06,,0
193,2017-09-14,,0
194,2017-09-22,,0
195,2017-09-30,0.4987547695636749,0
196,2017-10-08,,0
197,2017-10-16,0.33277469873428345,0
198,2017-10-24,,0
199,2017-11-01,0.2721664011478424,0
200,2017-11-09,,0
201,2017-11-17,0.2508910596370697,0
202,2017-11-25,,0
203,2017-12-03,0.22714780271053314,0
204,2017-12-11,,0
205,2017-12-19,0.06321936845779419,0
206,2017-12-27,,0
207,2018-01-01,0.241862952709198,0
208,2018-01-09,,0
209,2018-01-17,0.09416551142930984,0
210,2018-01-25,,0
211,2018-02-02,0.21387019753456116,0
212,2018-02-10,,0
213,2018-02-18,0.1616559475660324,0
214,2018-02-26,,0
215,2018-03-06,0.244531512260437,0
216,2018-03-14,,0
217,2018-03-22,0.12486623972654343,0
218,2018-03-30,,0
219,2018-04-07,0.15157072246074677,0
220,2018-04-15,,0
221,2018-04-23,0.17466990649700165,0
222,2018-05-01,,0
223,2018-05-09,0.09828942269086838,0
224,2018-05-17,,0
225,2018-05-25,0.41363027691841125,0
226,2018-06-02,,0
227,2018-06-10,0.630232036113739,0
228,2018-06-18,,0
229,2018-06-26,,0
230,2018-07-04,,0
231,2018-07-12,0.7369512915611267,0
232,2018-07-20,,0
233,2018-07-28,0.7850337028503418,0
234,2018-08-05,,0
235,2018-08-13,,0
236,2018-08-21,,0
237,2018-08-29,,0
238,2018-09-06,,0
239,2018-09-14,0.5494102239608765,0
240,2018-09-22,,0
241,2018-09-30,0.38953909277915955,0
242,2018-10-08,,0
243,2018-10-16,0.2856021523475647,0
244,2018-10-24,,0
